"FECHA","CRUDE_OIL_WTI"
"01/2006",486.7393
"02/2006",457.9109
"03/2006",467.347
"04/2006",517.7967
"05/2006",527.0842
"06/2006",527.2328
"07/2006",552.8663
"08/2006",542.7615
"09/2006",474.5541
"10/2006",437.4784
"11/2006",441.1191
"12/2006",460.8829
"01/2007",405.4551
"02/2007",440.3018
"03/2007",449.9608
"04/2007",475.2971
"05/2007",471.5078
"06/2007",501.3764
"07/2007",551.1574
"08/2007",537.8577
"09/2007",593.8799
"10/2007",640.466
"11/2007",703.0266
"12/2007",681.5539
"01/2008",690.6185
"02/2008",708.4505
"03/2008",784.3108
"04/2008",836.3951
"05/2008",931.6477
"06/2008",995.0999
"07/2008",991.4592
"08/2008",866.4123
"09/2008",771.977
"10/2008",569.5095
"11/2008",426.7792
"12/2008",304.7786
"01/2009",310.1282
"02/2009",290.9588
"03/2009",356.4914
"04/2009",369.9397
"05/2009",439.5588
"06/2009",517.7224
"07/2009",476.1887
"08/2009",527.9758
"09/2009",516.0878
"10/2009",563.3426
"11/2009",580.1344
"12/2009",552.049
"01/2010",581.1746
"02/2010",567.8006
"03/2010",603.6132
"04/2010",627.6864
"05/2010",548.6312
"06/2010",559.8505
"07/2010",567.4291
"08/2010",570.7726
"09/2010",559.5533
"10/2010",608.517
"11/2010",625.1602
"12/2010",661.5672
"01/2011",664.3906
"02/2011",665.5794
"03/2011",764.8442
"04/2011",817.5972
"05/2011",752.8819
"06/2011",715.4347
"07/2011",722.1217
"08/2011",641.4319
"09/2011",636.0823
"10/2011",642.0263
"11/2011",722.2703
"12/2011",732.3751
"01/2012",744.7832
"02/2012",759.7175
"03/2012",788.9917
"04/2012",767.7419
"05/2012",703.621
"06/2012",612.3063
"07/2012",653.3199
"08/2012",699.6088
"09/2012",703.7696
"10/2012",665.5051
"11/2012",643.8838
"12/2012",655.6975
"01/2013",703.5467
"02/2013",708.2276
"03/2013",691.3615
"04/2013",684.0801
"05/2013",704.364
"06/2013",711.794
"07/2013",777.2523
"08/2013",791.8151
"09/2013",789.7347
"10/2013",747.0122
"11/2013",697.3798
"12/2013",725.3909
"01/2014",703.0266
"02/2014",749.0926
"03/2014",748.944
"04/2014",758.3801
"05/2014",759.1974
"06/2014",786.0197
"07/2014",769.6737
"08/2014",717.2922
"09/2014",692.5503
"10/2014",627.092
"11/2014",563.1197
"12/2014",440.5247
"01/2015",350.8446
"02/2015",375.8094
"03/2015",355.3026
"04/2015",404.5635
"05/2015",440.3761
"06/2015",444.4626
"07/2015",378.187
"08/2015",318.5241
"09/2015",337.9164
"10/2015",343.4146
"11/2015",315.3292
"12/2015",276.3217
"01/2016",235.3824
"02/2016",225.2776
"03/2016",278.9965
"04/2016",302.7725
"05/2016",347.0553
"06/2016",362.2868
"07/2016",331.7495
"08/2016",332.2696
"09/2016",335.6874
"10/2016",369.8654
"11/2016",339.2538
"12/2016",386.1371
"01/2017",390.075
"02/2017",397.2821
"03/2017",366.5219
"04/2017",379.3758
"05/2017",360.2064
"06/2017",335.6874
"07/2017",346.4609
"08/2017",356.9372
"09/2017",370.1626
"10/2017",383.2394
"11/2017",420.8352
"12/2017",430.0484
"01/2018",473.291
"02/2018",462.3689
"03/2018",466.0839
"04/2018",492.2375
"05/2018",519.9514
"06/2018",504.2741
"07/2018",527.3814
"08/2018",505.6858
"09/2018",521.8089
"10/2018",525.6725
"11/2018",423.2128
"12/2018",367.9336
"01/2019",381.7534
"02/2019",408.2785
"03/2019",432.0545
"04/2019",474.4798
"05/2019",451.9669
"06/2019",406.1238
"07/2019",426.1105
"08/2019",407.2383
"09/2019",423.1385
"10/2019",400.9228
"11/2019",423.7329
"12/2019",444.9084
"01/2020",427.3736
"02/2020",375.5122
"03/2020",217.0303
"04/2020",122.9665
"05/2020",212.2008
"06/2020",284.6433
"07/2020",302.4753
"08/2020",314.5862
"09/2020",294.4509
"10/2020",292.742
"11/2020",304.1842
"12/2020",349.3586
"01/2021",386.36
"02/2021",438.6672
"03/2021",463.1119
"04/2021",458.5796
"05/2021",484.2131
"06/2021",530.3534
"07/2021",538.6007
"08/2021",503.2339
"09/2021",532.3595
"10/2021",605.3964
"11/2021",588.0845
"12/2021",532.8053
"01/2022",618.3246
"02/2022",680.8852
"03/2022",806.155
